databaseId,targetId,comparatorId
DA_GERMANY,321200010,331200010
DA_GERMANY,322200010,332200010
VAOMOP,111100000,131100000
VAOMOP,111100000,141100000
VAOMOP,111100000,261100000
VAOMOP,111100000,331100000
VAOMOP,111100000,421100000
VAOMOP,111100000,431100000
VAOMOP,111100000,451100000
VAOMOP,111100001,131100001
VAOMOP,111100001,261100001
VAOMOP,111100001,331100001
VAOMOP,111100001,421100001
VAOMOP,111100001,431100001
VAOMOP,111100001,451100001
VAOMOP,111100002,131100002
VAOMOP,111100002,331100002
VAOMOP,111100002,421100002
VAOMOP,111100002,431100002
VAOMOP,111100002,451100002
VAOMOP,111100010,131100010
VAOMOP,111100010,261100010
VAOMOP,111100010,331100010
VAOMOP,111100010,421100010
VAOMOP,111100010,431100010
VAOMOP,111100010,451100010
VAOMOP,111100020,131100020
VAOMOP,111100020,261100020
VAOMOP,111100020,331100020
VAOMOP,111100020,421100020
VAOMOP,111100020,431100020
VAOMOP,111100020,451100020
VAOMOP,111100100,131100100
VAOMOP,111100100,261100100
VAOMOP,111100100,331100100
VAOMOP,111100100,421100100
VAOMOP,111100100,431100100
VAOMOP,111100100,451100100
VAOMOP,111101000,261101000
VAOMOP,111101000,331101000
VAOMOP,111101000,431101000
VAOMOP,111101000,451101000
VAOMOP,111102000,131102000
VAOMOP,111102000,261102000
VAOMOP,111102000,331102000
VAOMOP,111102000,421102000
VAOMOP,111102000,431102000
VAOMOP,111102000,451102000
VAOMOP,111110000,331110000
VAOMOP,111110000,431110000
VAOMOP,111110000,451110000
VAOMOP,111120000,131120000
VAOMOP,111120000,261120000
VAOMOP,111120000,331120000
VAOMOP,111120000,421120000
VAOMOP,111120000,431120000
VAOMOP,111120000,451120000
VAOMOP,111130000,131130000
VAOMOP,111130000,261130000
VAOMOP,111130000,331130000
VAOMOP,111130000,421130000
VAOMOP,111130000,431130000
VAOMOP,111130000,451130000
VAOMOP,111200000,131200000
VAOMOP,111200000,141200000
VAOMOP,111200000,261200000
VAOMOP,111200000,331200000
VAOMOP,111200000,421200000
VAOMOP,111200000,431200000
VAOMOP,111200000,451200000
VAOMOP,111200001,131200001
VAOMOP,111200001,261200001
VAOMOP,111200001,331200001
VAOMOP,111200001,421200001
VAOMOP,111200001,431200001
VAOMOP,111200001,451200001
VAOMOP,111200002,131200002
VAOMOP,111200002,331200002
VAOMOP,111200002,421200002
VAOMOP,111200002,431200002
VAOMOP,111200002,451200002
VAOMOP,111200010,131200010
VAOMOP,111200010,261200010
VAOMOP,111200010,331200010
VAOMOP,111200010,421200010
VAOMOP,111200010,431200010
VAOMOP,111200010,451200010
VAOMOP,111200020,131200020
VAOMOP,111200020,261200020
VAOMOP,111200020,331200020
VAOMOP,111200020,421200020
VAOMOP,111200020,431200020
VAOMOP,111200020,451200020
VAOMOP,111200100,331200100
VAOMOP,111200100,431200100
VAOMOP,111200100,451200100
VAOMOP,111202000,131202000
VAOMOP,111202000,141202000
VAOMOP,111202000,261202000
VAOMOP,111202000,331202000
VAOMOP,111202000,421202000
VAOMOP,111202000,431202000
VAOMOP,111202000,451202000
VAOMOP,111220000,131220000
VAOMOP,111220000,261220000
VAOMOP,111220000,331220000
VAOMOP,111220000,421220000
VAOMOP,111220000,431220000
VAOMOP,111220000,451220000
VAOMOP,111230000,131230000
VAOMOP,111230000,261230000
VAOMOP,111230000,331230000
VAOMOP,111230000,421230000
VAOMOP,111230000,431230000
VAOMOP,111230000,451230000
VAOMOP,131100000,141100000
VAOMOP,131100000,261100000
VAOMOP,131100000,331100000
VAOMOP,131100000,421100000
VAOMOP,131100000,431100000
VAOMOP,131100000,451100000
VAOMOP,131100001,261100001
VAOMOP,131100001,331100001
